DATE,CPIAUCSL
2003-04-01,183.0666666666666667
2003-07-01,184.4333333333333333
2003-10-01,185.1333333333333333
2004-01-01,186.7000000000000000
2004-04-01,188.1666666666666667
2004-07-01,189.3666666666666667
2004-10-01,191.4000000000000000
2005-01-01,192.3666666666666667
2005-04-01,193.6666666666666667
2005-07-01,196.6000000000000000
2005-10-01,198.4333333333333333
2006-01-01,199.4666666666666667
2006-04-01,201.2666666666666667
2006-07-01,203.1666666666666667
2006-10-01,202.3333333333333333
2007-01-01,204.3170000000000000
2007-04-01,206.6310000000000000
2007-07-01,207.9390000000000000
2007-10-01,210.4896666666666667
2008-01-01,212.7696666666666667
2008-04-01,215.5376666666666667
2008-07-01,218.8610000000000000
2008-10-01,213.8486666666666667
2009-01-01,212.3776666666666667
2009-04-01,213.5070000000000000
2009-07-01,215.3440000000000000
2009-10-01,217.0300000000000000
2010-01-01,217.3740000000000000
2010-04-01,217.2973333333333333
2010-07-01,217.9343333333333333
2010-10-01,219.6990000000000000
2011-01-01,222.0436666666666667
2011-04-01,224.5683333333333333
2011-07-01,226.0326666666666667
2011-10-01,227.0473333333333333
2012-01-01,228.3260000000000000
2012-04-01,228.8080000000000000
2012-07-01,229.8410000000000000
2012-10-01,231.3693333333333333
2013-01-01,232.2993333333333333
2013-04-01,232.0450000000000000
2013-07-01,233.3000000000000000
2013-10-01,234.1626666666666667
2014-01-01,235.6210000000000000
2014-04-01,236.8723333333333333
2014-07-01,237.4783333333333333
2014-10-01,236.8883333333333333
2015-01-01,235.3550000000000000
2015-04-01,236.9600000000000000
2015-07-01,237.8550000000000000
2015-10-01,237.8370000000000000
2016-01-01,237.6893333333333333
2016-04-01,239.5903333333333333
2016-07-01,240.6073333333333333
2016-10-01,242.1346666666666667
2017-01-01,243.7526666666666667
2017-04-01,244.1870000000000000
2017-07-01,245.3453333333333333
2017-10-01,247.2570000000000000
2018-01-01,249.1793333333333333
2018-04-01,250.7376666666666667
2018-07-01,251.7543333333333333
2018-10-01,252.7380000000000000
2019-01-01,253.1856666666666667
2019-04-01,255.3733333333333333
2019-07-01,256.1916666666666667
2019-10-01,257.8596666666666667
2020-01-01,258.5000000000000000
2020-04-01,256.4720000000000000
2020-07-01,259.4213333333333333
2020-10-01,260.9830000000000000
2021-01-01,263.3950000000000000
